    comment_id	story_id	author	content
1	7	Karaï	Petit test de réponse aux posts.
2	8	Karaï	Force, on est lundi ça va vite passer
3	6	Karaï	Oui.
4	4	Karaï	Imposteuse
5	9	Karaï	C'est oû ça encore
6	8	sodebo	ratio
7	12	sodebo	Hablo espanol no comprendo tu lunes. Soy muy triste
8	12	Karaï	Go mettre un bot pour répondre au trash post, delete or get deleted
9	8	Karaï	gpalu
10	12	sodebo	oeee
11	12	Vassiøn	oui
12	1	TyronDante	ftg 
13	1	Karaï	oh un ban
14	20	Karaï	spam
15	21	Karaï	Ah pas con je rajoute ça !
16	20	Karaï	bonap
